Subject,Session,SessionRS
sub-A00008326,ses-V2,ses-DS2
sub-A00010893,ses-V2,ses-DS2
sub-A00013809,ses-V2,ses-DS2
sub-A00019903,ses-V2,ses-DS2
sub-A00023510,ses-V2,ses-DS2
sub-A00025566,ses-V2,ses-DS2
sub-A00027167,ses-V2,ses-DS2
sub-A00027439,ses-V2,ses-DS2
sub-A00027443,ses-V2,ses-DS2
sub-A00027544,ses-V2,ses-DS2
sub-A00027651,ses-V2,ses-DS2
sub-A00028150,ses-V2,ses-DS2
sub-A00028152,ses-V2,ses-DS2
sub-A00028177,ses-V2,ses-DS2
sub-A00028184,ses-V2,ses-DS2
sub-A00028192,ses-V2,ses-DS2
sub-A00028246,ses-V2,ses-DS2
sub-A00028339,ses-V2,ses-DS2
sub-A00028389,ses-V2,ses-DS2
sub-A00028399,ses-V2,ses-DS2
sub-A00028400,ses-V2,ses-DS2
sub-A00028429,ses-V2,ses-DS2
sub-A00028468,ses-V2,ses-DS2
sub-A00028552,ses-V2,ses-DS2
sub-A00028605,ses-V2,ses-DS2
sub-A00028606,ses-V2,ses-DS2
sub-A00028613,ses-V2,ses-DS2
sub-A00028625,ses-V2,ses-DS2
sub-A00028656,ses-V2,ses-DS2
sub-A00028678,ses-V2,ses-DS2
sub-A00028691,ses-V2,ses-DS2
sub-A00028694,ses-V2,ses-DS2
sub-A00028753,ses-V2,ses-DS2
sub-A00028754,ses-V2,ses-DS2
sub-A00028766,ses-V2,ses-DS2
sub-A00028784,ses-V2,ses-DS2
sub-A00028822,ses-V2,ses-DS2
sub-A00028842,ses-V2,ses-DS2
sub-A00028844,ses-V2,ses-DS2
sub-A00028845,ses-V2,ses-DS2
sub-A00028858,ses-V2,ses-DS2
sub-A00028912,ses-V2,ses-DS2
sub-A00028929,ses-V2,ses-DS2
sub-A00028994,ses-V2,ses-DS2
sub-A00028995,ses-V2,ses-DS2
sub-A00029075,ses-V2,ses-DS2
sub-A00029076,ses-V2,ses-DS2
sub-A00029092,ses-V2,ses-DS2
sub-A00029104,ses-V2,ses-DS2
sub-A00029126,ses-V2,ses-DS2
sub-A00029127,ses-V2,ses-DS2
sub-A00029215,ses-V2,ses-DS2
sub-A00029219,ses-V2,ses-DS2
sub-A00029230,ses-V2,ses-DS2
sub-A00029231,ses-V2,ses-DS2
sub-A00029303,ses-V2,ses-DS2
sub-A00029304,ses-V2,ses-DS2
sub-A00029979,ses-V2,ses-DS2
sub-A00030912,ses-V2,ses-DS2
sub-A00030913,ses-V2,ses-DS2
sub-A00030980,ses-V2,ses-DS2
sub-A00030981,ses-V2,ses-DS2
sub-A00030990,ses-V2,ses-DS2
sub-A00031167,ses-V2,ses-DS2
sub-A00031216,ses-V2,ses-DS2
sub-A00031217,ses-V2,ses-DS2
sub-A00031219,ses-V2,ses-DS2
sub-A00031272,ses-V2,ses-DS2
sub-A00031452,ses-V2,ses-DS2
sub-A00031459,ses-V2,ses-DS2
sub-A00031549,ses-V2,ses-DS2
sub-A00031604,ses-V2,ses-DS2
sub-A00031605,ses-V2,ses-DS2
sub-A00031625,ses-V2,ses-DS2
sub-A00031683,ses-V2,ses-DS2
sub-A00031794,ses-V2,ses-DS2
sub-A00031871,ses-V2,ses-DS2
sub-A00031872,ses-V2,ses-DS2
sub-A00031881,ses-V2,ses-DS2
sub-A00031893,ses-V2,ses-DS2
sub-A00031894,ses-V2,ses-DS2
sub-A00032007,ses-V2,ses-DS2
sub-A00032862,ses-V2,ses-DS2
sub-A00032876,ses-V2,ses-DS2
sub-A00033011,ses-V2,ses-DS2
sub-A00033021,ses-V2,ses-DS2
sub-A00033180,ses-V2,ses-DS2
sub-A00033231,ses-V2,ses-DS2
sub-A00033232,ses-V2,ses-DS2
sub-A00033247,ses-V2,ses-DS2
sub-A00033248,ses-V2,ses-DS2
sub-A00033589,ses-V2,ses-DS2
sub-A00033609,ses-V2,ses-DS2
sub-A00033640,ses-V2,ses-DS2
sub-A00033643,ses-V2,ses-DS2
sub-A00033647,ses-V2,ses-DS2
sub-A00033673,ses-V2,ses-DS2
sub-A00033714,ses-V2,ses-DS2
sub-A00033734,ses-V2,ses-DS2
sub-A00033735,ses-V2,ses-DS2
sub-A00033748,ses-V2,ses-DS2
sub-A00033752,ses-V2,ses-DS2
sub-A00033764,ses-V2,ses-DS2
sub-A00033832,ses-V2,ses-DS2
sub-A00033834,ses-V2,ses-DS2
sub-A00033849,ses-V2,ses-DS2
sub-A00033903,ses-V2,ses-DS2
sub-A00033963,ses-V2,ses-DS2
sub-A00033998,ses-V2,ses-DS2
sub-A00034073,ses-V2,ses-DS2
sub-A00034074,ses-V2,ses-DS2
sub-A00034093,ses-V2,ses-DS2
sub-A00034385,ses-V2,ses-DS2
sub-A00034400,ses-V2,ses-DS2
sub-A00034827,ses-V2,ses-DS2
sub-A00034987,ses-V2,ses-DS2
sub-A00035036,ses-V2,ses-DS2
sub-A00035054,ses-V2,ses-DS2
sub-A00035291,ses-V2,ses-DS2
sub-A00035337,ses-V2,ses-DS2
sub-A00035363,ses-V2,ses-DS2
sub-A00035364,ses-V2,ses-DS2
sub-A00035377,ses-V2,ses-DS2
sub-A00035378,ses-V2,ses-DS2
sub-A00035437,ses-V2,ses-DS2
sub-A00035440,ses-V2,ses-DS2
sub-A00035504,ses-V2,ses-DS2
sub-A00035535,ses-V2,ses-DS2
sub-A00035553,ses-V2,ses-DS2
sub-A00035562,ses-V2,ses-DS2
sub-A00035606,ses-V2,ses-DS2
sub-A00035608,ses-V2,ses-DS2
sub-A00035625,ses-V2,ses-DS2
sub-A00035633,ses-V2,ses-DS2
sub-A00035765,ses-V2,ses-DS2
